Order,Problem,Phase,Sub-Topic,Difficulty,LeetCode #,LeetCode URL,Status,Approaches Mastered,Target Complexity,Confidence,Key Intuition / Trap
11,Count Primes,Phase 1: Foundations & Math,Number Theory,Medium,204,https://leetcode.com/problems/count-primes/,Not Started,Optimal,O(N log log N) | O(N) Space,Unrated,Sieve of Eratosthenes; mark multiples starting from p * p.
12,Pow(x n),Phase 1: Foundations & Math,Number Theory,Medium,50,https://leetcode.com/problems/powx-n/,Not Started,Optimal,O(log N) Time | O(1) Space,Unrated,Binary Exponentiation; handle INT_MIN negative exponent with long long.
13,Factorial Trailing Zeroes,Phase 1: Foundations & Math,Number Theory,Medium,172,https://leetcode.com/problems/factorial-trailing-zeroes/,Not Started,Optimal,O(log5 N) | O(1) Space,Unrated,Count factors of 5: n/5 + n/25 + n/125 + ...
14,Max Points on a Line,Phase 1: Foundations & Math,Number Theory,Hard,149,https://leetcode.com/problems/max-points-on-a-line/,Not Started,Optimal,O(N^2) Time | O(N) Space,Unrated,Slope representation via normalized dy / dx using GCD to avoid floating precision.
15,Permutation Sequence,Phase 1: Foundations & Math,Number Theory,Hard,60,https://leetcode.com/problems/permutation-sequence/,Not Started,Optimal,O(N^2) Time | O(N) Space,Unrated,Factorial number system; compute block index k / (n-1)!.
16,Maximum Subarray,Phase 2: Arrays & Pointers,Array Fundamentals,Medium,53,https://leetcode.com/problems/maximum-subarray/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Kadane Algorithm: curSum = max(num curSum + num).
17,Best Time to Buy and Sell Stock,Phase 2: Arrays & Pointers,Array Fundamentals,Easy,121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Track minPrice so far; maxProfit = max(maxProfit price - minPrice).
18,Maximum Product Subarray,Phase 2: Arrays & Pointers,Array Fundamentals,Medium,152,https://leetcode.com/problems/maximum-product-subarray/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Track both curMax and curMin because multiplying by negative flips extremes.
19,Sort Colors,Phase 2: Arrays & Pointers,Array Fundamentals,Medium,75,https://leetcode.com/problems/sort-colors/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Dutch National Flag 3-pointer partition: low mid high.
20,Next Permutation,Phase 2: Arrays & Pointers,Array Fundamentals,Medium,31,https://leetcode.com/problems/next-permutation/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Find first decreasing pivot from right; swap with just larger element; reverse suffix.
21,Merge Intervals,Phase 2: Arrays & Pointers,Array Fundamentals,Medium,56,https://leetcode.com/problems/merge-intervals/,Not Started,Optimal,O(N log N) | O(N) Space,Unrated,Sort intervals by start time; merge if next.start <= curr.end.
22,Insert Interval,Phase 2: Arrays & Pointers,Array Fundamentals,Medium,57,https://leetcode.com/problems/insert-interval/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,Add non-overlapping left; merge overlapping; add remaining right.
23,Rotate Image,Phase 2: Arrays & Pointers,Array Fundamentals,Medium,48,https://leetcode.com/problems/rotate-image/,Not Started,Optimal,O(N^2) Time | O(1) Space,Unrated,Clockwise 90 deg rotation = Transpose matrix + Reverse each row.
24,Set Matrix Zeroes,Phase 2: Arrays & Pointers,Array Fundamentals,Medium,73,https://leetcode.com/problems/set-matrix-zeroes/,Not Started,Optimal,O(M * N) | O(1) Space,Unrated,Use 1st row and 1st col as markers; extra variable for col0.
25,Spiral Matrix,Phase 2: Arrays & Pointers,Array Fundamentals,Medium,54,https://leetcode.com/problems/spiral-matrix/,Not Started,Optimal,O(M * N) | O(1) Space,Unrated,Maintain 4 boundaries: top bottom left right; shrink boundaries inward.
26,Two Sum II - Input Array Is Sorted,Phase 2: Arrays & Pointers,Two Pointers,Medium,167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Opposite pointers: left = 0 right = n - 1.
27,3Sum,Phase 2: Arrays & Pointers,Two Pointers,Medium,15,https://leetcode.com/problems/3sum/,Not Started,Optimal,O(N^2) Time | O(1) Space,Unrated,Sort array; fix anchor i; Two Pointers on rest; skip duplicates.
28,4Sum,Phase 2: Arrays & Pointers,Two Pointers,Medium,18,https://leetcode.com/problems/4sum/,Not Started,Optimal,O(N^3) Time | O(1) Space,Unrated,Two nested loops for anchors i and j; Two Pointers; careful with long long overflow.
29,Container With Most Water,Phase 2: Arrays & Pointers,Two Pointers,Medium,11,https://leetcode.com/problems/container-with-most-water/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Width shrinks; always move pointer with shorter height inward.
30,Trapping Rain Water,Phase 2: Arrays & Pointers,Two Pointers,Hard,42,https://leetcode.com/problems/trapping-rain-water/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Two Pointers maintaining leftMax and rightMax; process lower boundary side.
31,Remove Duplicates from Sorted Array,Phase 2: Arrays & Pointers,Two Pointers,Easy,26,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Slow pointer marks next insertion; fast pointer scans.
32,Move Zeroes,Phase 2: Arrays & Pointers,Two Pointers,Easy,283,https://leetcode.com/problems/move-zeroes/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Swap non-zero element with slow pointer position.
33,Maximum Average Subarray I,Phase 2: Arrays & Pointers,Sliding Window,Easy,643,https://leetcode.com/problems/maximum-average-subarray-i/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Fixed window of size K: add next element subtract evicted element.
34,Find All Anagrams in a String,Phase 2: Arrays & Pointers,Sliding Window,Medium,438,https://leetcode.com/problems/find-all-anagrams-in-a-string/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Fixed window size = len(p); compare 26-element char frequency arrays.
35,Longest Substring Without Repeating Characters,Phase 2: Arrays & Pointers,Sliding Window,Medium,3,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Variable window; jump left pointer to lastSeen[c] + 1 when duplicate occurs.
36,Longest Repeating Character Replacement,Phase 2: Arrays & Pointers,Sliding Window,Medium,424,https://leetcode.com/problems/longest-repeating-character-replacement/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Window valid if (windowLen - maxFreq) <= k; expand right and shrink left.
37,Max Consecutive Ones III,Phase 2: Arrays & Pointers,Sliding Window,Medium,1004,https://leetcode.com/problems/max-consecutive-ones-iii/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Window with at most k zeroes; shrink when zeroCount > k.
38,Minimum Window Substring,Phase 2: Arrays & Pointers,Sliding Window,Hard,76,https://leetcode.com/problems/minimum-window-substring/,Not Started,Optimal,O(|S| + |T|) | O(1) Space,Unrated,Match char frequencies; shrink left as much as possible while all chars matched.
39,Subarrays with K Different Integers,Phase 2: Arrays & Pointers,Sliding Window,Hard,992,https://leetcode.com/problems/subarrays-with-k-different-integers/,Not Started,Optimal,O(N) Time | O(K) Space,Unrated,Exact(K) = AtMost(K) - AtMost(K - 1) identity.
40,Count Number of Nice Subarrays,Phase 2: Arrays & Pointers,Sliding Window,Medium,1248,https://leetcode.com/problems/count-number-of-nice-subarrays/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Exact(K odds) = AtMost(K odds) - AtMost(K - 1 odds).
41,Subarray Sum Equals K,Phase 2: Arrays & Pointers,Prefix Sum,Medium,560,https://leetcode.com/problems/subarray-sum-equals-k/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,prefixSum[j] = prefixSum[i] - k; store prefixSum frequencies in Hash Map.
42,Subarray Sums Divisible by K,Phase 2: Arrays & Pointers,Prefix Sum,Medium,974,https://leetcode.com/problems/subarray-sums-divisible-by-k/,Not Started,Optimal,O(N) Time | O(K) Space,Unrated,Modulo arithmetic: (sum % k + k) % k frequency map.
43,Contiguous Array,Phase 2: Arrays & Pointers,Prefix Sum,Medium,525,https://leetcode.com/problems/contiguous-array/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,Treat 0 as -1 and 1 as +1; find longest subarray with sum 0 using Hash Map.
44,Product of Array Except Self,Phase 2: Arrays & Pointers,Prefix Sum,Medium,238,https://leetcode.com/problems/product-of-array-except-self/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Prefix products in forward pass; suffix products on-the-fly in backward pass.
45,Corporate Flight Bookings,Phase 2: Arrays & Pointers,Difference Array,Medium,1109,https://leetcode.com/problems/corporate-flight-bookings/,Not Started,Optimal,O(N + Q) | O(N) Space,Unrated,Range update [L R val]: diff[L] += val and diff[R+1] -= val; prefix sum sweep.
46,Car Pooling,Phase 2: Arrays & Pointers,Difference Array,Medium,1094,https://leetcode.com/problems/car-pooling/,Not Started,Optimal,O(N + MaxStop) | O(1) Space,Unrated,Difference array of size 1001; diff[from] += num diff[to] -= num; running prefix.
47,Binary Search,Phase 3: Binary Search,1D/2D Binary Search,Easy,704,https://leetcode.com/problems/binary-search/,Not Started,Optimal,O(log N) Time | O(1) Space,Unrated,mid = low + (high - low) / 2 prevents overflow.
48,Search Insert Position,Phase 3: Binary Search,1D/2D Binary Search,Easy,35,https://leetcode.com/problems/search-insert-position/,Not Started,Optimal,O(log N) Time | O(1) Space,Unrated,Standard lower_bound implementation (first index >= target).
49,Find First and Last Position in Sorted Array,Phase 3: Binary Search,1D/2D Binary Search,Medium,34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Not Started,Optimal,O(log N) Time | O(1) Space,Unrated,Two binary searches: lower_bound for first; upper_bound - 1 for last.
50,Search in Rotated Sorted Array,Phase 3: Binary Search,1D/2D Binary Search,Medium,33,https://leetcode.com/problems/search-in-rotated-sorted-array/,Not Started,Optimal,O(log N) Time | O(1) Space,Unrated,Identify which half is sorted; check if target falls inside sorted half.
51,Search in Rotated Sorted Array II,Phase 3: Binary Search,1D/2D Binary Search,Medium,81,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Not Started,Optimal,O(log N) avg O(N) worst,Unrated,With duplicates if nums[low] == nums[mid] == nums[high] shrink low++ high--.
52,Find Minimum in Rotated Sorted Array,Phase 3: Binary Search,1D/2D Binary Search,Medium,153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Not Started,Optimal,O(log N) Time | O(1) Space,Unrated,If nums[mid] > nums[high] min lies on right; else min lies at mid or left.
53,Find Peak Element,Phase 3: Binary Search,1D/2D Binary Search,Medium,162,https://leetcode.com/problems/find-peak-element/,Not Started,Optimal,O(log N) Time | O(1) Space,Unrated,If nums[mid] < nums[mid+1] climb right upward slope; else peak on left.
54,Single Element in a Sorted Array,Phase 3: Binary Search,1D/2D Binary Search,Medium,540,https://leetcode.com/problems/single-element-in-a-sorted-array/,Not Started,Optimal,O(log N) Time | O(1) Space,Unrated,Even-Odd index pairing property: pairs start at even index before single element.
55,Search a 2D Matrix,Phase 3: Binary Search,1D/2D Binary Search,Medium,74,https://leetcode.com/problems/search-a-2d-matrix/,Not Started,Optimal,O(log(M*N)) | O(1) Space,Unrated,Virtual 1D mapping: row = mid / cols and col = mid % cols.
56,Search a 2D Matrix II,Phase 3: Binary Search,1D/2D Binary Search,Medium,240,https://leetcode.com/problems/search-a-2d-matrix-ii/,Not Started,Optimal,O(M + N) | O(1) Space,Unrated,Staircase search starting at top-right corner; move left or down.
57,Koko Eating Bananas,Phase 3: Binary Search,Search Space Optimization,Medium,875,https://leetcode.com/problems/koko-eating-bananas/,Not Started,Optimal,O(N log(max)) | O(1) Space,Unrated,Search space speed [1 max(piles)]; monotonic hours function ceil(pile / speed).
58,Capacity To Ship Packages Within D Days,Phase 3: Binary Search,Search Space Optimization,Medium,1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,Not Started,Optimal,O(N log(sum)) | O(1) Space,Unrated,Search space capacity [max(weights) sum(weights)]; greedy day simulator.
59,Split Array Largest Sum,Phase 3: Binary Search,Search Space Optimization,Hard,410,https://leetcode.com/problems/split-array-largest-sum/,Not Started,Optimal,O(N log(sum)) | O(1) Space,Unrated,Equivalent to Book Allocation Problem; minimize maximum subarray sum.
60,Magnetic Force Between Two Balls,Phase 3: Binary Search,Search Space Optimization,Medium,1552,https://leetcode.com/problems/magnetic-force-between-two-balls/,Not Started,Optimal,O(N log(maxDist)) | O(1) Space,Unrated,Aggressive Cows; maximize minimum distance between chosen positions.
61,Median of Two Sorted Arrays,Phase 3: Binary Search,Search Space Optimization,Hard,4,https://leetcode.com/problems/median-of-two-sorted-arrays/,Not Started,Optimal,O(log(min(M N))) | O(1) Space,Unrated,Binary search partition cuts on smaller array: left1 <= right2 && left2 <= right1.
62,Kth Smallest Element in a Sorted Matrix,Phase 3: Binary Search,Search Space Optimization,Medium,378,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,Not Started,Optimal,O(N log(max-min)) | O(1) Space,Unrated,Binary search over value range; count elements <= mid using staircase scan in O(N).
63,Find K-th Smallest Pair Distance,Phase 3: Binary Search,Search Space Optimization,Hard,719,https://leetcode.com/problems/find-k-th-smallest-pair-distance/,Not Started,Optimal,O(N log N + N log(maxDist)),Unrated,Sort array; binary search on distance; count pairs with diff <= mid using Two Pointers.
64,Valid Palindrome,Phase 4: Strings & Pattern Matching,String Fundamentals,Easy,125,https://leetcode.com/problems/valid-palindrome/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Two pointers skipping non-alphanumeric chars; case-insensitive comparison.
65,Longest Common Prefix,Phase 4: Strings & Pattern Matching,String Fundamentals,Easy,14,https://leetcode.com/problems/longest-common-prefix/,Not Started,Optimal,O(N * M) | O(1) Space,Unrated,Vertical scanning or sort strings and compare first with last.
66,Reverse Words in a String,Phase 4: Strings & Pattern Matching,String Fundamentals,Medium,151,https://leetcode.com/problems/reverse-words-in-a-string/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,In-place reversal: reverse entire string then reverse each word individually.
67,String to Integer (atoi),Phase 4: Strings & Pattern Matching,String Fundamentals,Medium,8,https://leetcode.com/problems/string-to-integer-atoi/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Handle leading whitespace sign and integer clamp to INT_MIN / INT_MAX.
68,Find the Index of the First Occurrence,Phase 4: Strings & Pattern Matching,Pattern Matching,Easy,28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Not Started,Optimal,O(N + M) | O(M) Space,Unrated,KMP Algorithm using LPS (pi) array to prevent rolling back text pointer.
69,Repeated Substring Pattern,Phase 4: Strings & Pattern Matching,Pattern Matching,Easy,459,https://leetcode.com/problems/repeated-substring-pattern/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,KMP LPS insight: len % (len - lps[len-1]) == 0 with lps[len-1] > 0. Or (S + S)[1..2n-2] find S.
70,Shortest Palindrome,Phase 4: Strings & Pattern Matching,Pattern Matching,Hard,214,https://leetcode.com/problems/shortest-palindrome/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,KMP LPS on S + '#' + reverse(S); longest palindromic prefix is lps.back().
71,Repeated DNA Sequences,Phase 4: Strings & Pattern Matching,Pattern Matching,Medium,187,https://leetcode.com/problems/repeated-dna-sequences/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,Rolling Hash / 2-bit encoding (A:00 C:01 G:10 T:11) for 10-length substrings.
72,Longest Palindromic Substring,Phase 4: Strings & Pattern Matching,Pattern Matching,Medium,5,https://leetcode.com/problems/longest-palindromic-substring/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,Manacher Algorithm with '#' boundaries for linear O(N) time or Expand Around Center O(N^2).
73,Palindromic Substrings,Phase 4: Strings & Pattern Matching,Pattern Matching,Medium,647,https://leetcode.com/problems/palindromic-substrings/,Not Started,Optimal,O(N) Time via Manacher,Unrated,Count palindromes: sum of (radius + 1) / 2 for each center.
74,Reverse Linked List,Phase 5: Linear Data Structures,Linked Lists,Easy,206,https://leetcode.com/problems/reverse-linked-list/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Iterative 3 pointers: prev curr nextTemp.
75,Reverse Linked List II,Phase 5: Linear Data Structures,Linked Lists,Medium,92,https://leetcode.com/problems/reverse-linked-list-ii/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Reach node left-1; reverse sublist between left and right in single pass.
76,Reverse Nodes in k-Group,Phase 5: Linear Data Structures,Linked Lists,Hard,25,https://leetcode.com/problems/reverse-nodes-in-k-group/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Check if k nodes exist; reverse k nodes; recursively link to next k-group.
77,Linked List Cycle,Phase 5: Linear Data Structures,Linked Lists,Easy,141,https://leetcode.com/problems/linked-list-cycle/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Floyd Cycle Detection: slow moves 1 fast moves 2; meet if cycle exists.
78,Linked List Cycle II,Phase 5: Linear Data Structures,Linked Lists,Medium,142,https://leetcode.com/problems/linked-list-cycle-ii/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,When slow and fast meet reset slow to head; move both 1 step to find cycle start.
79,Merge Two Sorted Lists,Phase 5: Linear Data Structures,Linked Lists,Easy,21,https://leetcode.com/problems/merge-two-sorted-lists/,Not Started,Optimal,O(N + M) | O(1) Space,Unrated,Dummy head node; compare heads of both lists and advance.
80,Merge k Sorted Lists,Phase 5: Linear Data Structures,Linked Lists,Hard,23,https://leetcode.com/problems/merge-k-sorted-lists/,Not Started,Optimal,O(N log K) | O(K) Space,Unrated,Min-Heap priority_queue storing current node of each of the K lists.
81,Remove Nth Node From End of List,Phase 5: Linear Data Structures,Linked Lists,Medium,19,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Two pointers separated by N steps; when fast hits end slow is at target.
82,Intersection of Two Linked Lists,Phase 5: Linear Data Structures,Linked Lists,Easy,160,https://leetcode.com/problems/intersection-of-two-linked-lists/,Not Started,Optimal,O(N + M) | O(1) Space,Unrated,Pointer A switches to headB when null; Pointer B switches to headA; meet at intersection.
83,Palindrome Linked List,Phase 5: Linear Data Structures,Linked Lists,Easy,234,https://leetcode.com/problems/palindrome-linked-list/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Find middle via fast/slow; reverse second half; compare halves.
84,Copy List with Random Pointer,Phase 5: Linear Data Structures,Linked Lists,Medium,138,https://leetcode.com/problems/copy-list-with-random-pointer/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Weave copied nodes next to originals; copy random links; unweave lists.
85,LRU Cache,Phase 5: Linear Data Structures,Cache Design,Medium,146,https://leetcode.com/problems/lru-cache/,Not Started,Optimal,O(1) Get and Put,Unrated,Doubly Linked List (std::list) for order + Hash Map for O(1) iterator lookup.
86,LFU Cache,Phase 5: Linear Data Structures,Cache Design,Hard,460,https://leetcode.com/problems/lfu-cache/,Not Started,Optimal,O(1) Get and Put,Unrated,keyToValFreq + freqToList (list per frequency) + minFreq counter.
87,Valid Parentheses,Phase 5: Linear Data Structures,Stacks & Queues,Easy,20,https://leetcode.com/problems/valid-parentheses/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,Push opening brackets to stack; verify matching top on closing brackets.
88,Min Stack,Phase 5: Linear Data Structures,Stacks & Queues,Medium,155,https://leetcode.com/problems/min-stack/,Not Started,Optimal,O(1) All Ops | O(N) Space,Unrated,Pair stack storing {val currentMin} or store 2*val - minVal math encoding.
89,Evaluate Reverse Polish Notation,Phase 5: Linear Data Structures,Stacks & Queues,Medium,150,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,Operands pushed to stack; operators pop two operands apply op and push result.
90,Decode String,Phase 5: Linear Data Structures,Stacks & Queues,Medium,394,https://leetcode.com/problems/decode-string/,Not Started,Optimal,O(OutputLen) | O(N) Space,Unrated,Two stacks: countStack and stringStack; handle '[' and ']' transitions.
91,Basic Calculator II,Phase 5: Linear Data Structures,Stacks & Queues,Medium,227,https://leetcode.com/problems/basic-calculator-ii/,Not Started,Optimal,O(N) Time | O(1) Space,Unrated,Evaluate * and / immediately with lastNum; delay + and -; sum accumulated results.
92,Next Greater Element I,Phase 5: Linear Data Structures,Monotonic Stack,Easy,496,https://leetcode.com/problems/next-greater-element-i/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,Monotonic decreasing stack right-to-left; pop elements <= curr.
93,Next Greater Element II (Circular),Phase 5: Linear Data Structures,Monotonic Stack,Medium,503,https://leetcode.com/problems/next-greater-element-ii/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,Iterate array twice from 2N-1 down to 0 with index i % N on monotonic stack.
94,Daily Temperatures,Phase 5: Linear Data Structures,Monotonic Stack,Medium,739,https://leetcode.com/problems/daily-temperatures/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,Monotonic decreasing stack storing indices; days = i - st.top().
95,Online Stock Span,Phase 5: Linear Data Structures,Monotonic Stack,Medium,901,https://leetcode.com/problems/online-stock-span/,Not Started,Optimal,O(1) Amortized | O(N) Space,Unrated,Monotonic stack storing pairs {price span}; accumulate spans of smaller prices.
96,Largest Rectangle in Histogram,Phase 5: Linear Data Structures,Monotonic Stack,Hard,84,https://leetcode.com/problems/largest-rectangle-in-histogram/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,Monotonic increasing stack of indices; width = st.empty() ? i : i - st.top() - 1.
97,Maximal Rectangle,Phase 5: Linear Data Structures,Monotonic Stack,Hard,85,https://leetcode.com/problems/maximal-rectangle/,Not Started,Optimal,O(M * N) | O(N) Space,Unrated,Accumulate consecutive 1s per row into histogram heights; run Largest Rectangle on each row.
98,Sliding Window Maximum,Phase 5: Linear Data Structures,Monotonic Deque,Hard,239,https://leetcode.com/problems/sliding-window-maximum/,Not Started,Optimal,O(N) Time | O(K) Space,Unrated,Monotonic decreasing deque of indices; pop elements outside window and smaller elements.
99,Remove K Digits,Phase 5: Linear Data Structures,Monotonic Stack,Medium,402,https://leetcode.com/problems/remove-k-digits/,Not Started,Optimal,O(N) Time | O(N) Space,Unrated,Greedy monotonic increasing stack; pop while st.top() > digit && k > 0; trim leading zeroes.
100,Subsets,Phase 6: Recursion & Backtracking,Combinatorics,Medium,78,https://leetcode.com/problems/subsets/,Not Started,Optimal,O(N * 2^N) | O(N) Space,Unrated,Backtracking pick / not pick pattern; collect state at every recursion call.
101,Subsets II (With Duplicates),Phase 6: Recursion & Backtracking,Combinatorics,Medium,90,https://leetcode.com/problems/subsets-ii/,Not Started,Optimal,O(N * 2^N) | O(N) Space,Unrated,Sort first; skip duplicate element if i > start && nums[i] == nums[i-1].
102,Permutations,Phase 6: Recursion & Backtracking,Combinatorics,Medium,46,https://leetcode.com/problems/permutations/,Not Started,Optimal,O(N * N!) | O(N) Space,Unrated,Swap-based in-place backtracking or boolean visited array.
103,Permutations II,Phase 6: Recursion & Backtracking,Combinatorics,Medium,47,https://leetcode.com/problems/permutations-ii/,Not Started,Optimal,O(N * N!) | O(N) Space,Unrated,Sort first; skip if i > 0 && nums[i] == nums[i-1] && !visited[i-1].
104,Combination Sum,Phase 6: Recursion & Backtracking,Combinatorics,Medium,39,https://leetcode.com/problems/combination-sum/,Not Started,Optimal,O(2^Target) | O(Target) Space,Unrated,Unlimited choices of same element: stay on same index i on recursive include.
105,Combination Sum II,Phase 6: Recursion & Backtracking,Combinatorics,Medium,40,https://leetcode.com/problems/combination-sum-ii/,Not Started,Optimal,O(2^N) | O(N) Space,Unrated,Each element used once; sort and skip duplicates: i > start && candidates[i] == candidates[i-1].
106,Letter Combinations of a Phone Number,Phase 6: Recursion & Backtracking,Combinatorics,Medium,17,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Not Started,Optimal,O(4^N * N) | O(N) Space,Unrated,Phone digit-to-char mapping; explore char branching per digit.
107,Generate Parentheses,Phase 6: Recursion & Backtracking,Combinatorics,Medium,22,https://leetcode.com/problems/generate-parentheses/,Not Started,Optimal,O(4^N / sqrt(N)) Catalan,Unrated,Open < n: add '('; close < open: add ')'.
108,Word Search,Phase 6: Recursion & Backtracking,Grid Search,Medium,79,https://leetcode.com/problems/word-search/,Not Started,Optimal,O(M * N * 3^L) | O(L) Space,Unrated,DFS in 4 directions; mark visited in-place by board[r][c] = '#' and backtrack.
109,Word Search II,Phase 6: Recursion & Backtracking,Grid Search,Hard,212,https://leetcode.com/problems/word-search-ii/,Not Started,Optimal,O(M * N * 3^L) with Trie,Unrated,Insert words into Trie; DFS on board matching Trie nodes simultaneously; prune leaf words.
110,N-Queens,Phase 6: Recursion & Backtracking,Hard State Space,Hard,51,https://leetcode.com/problems/n-queens/,Not Started,Optimal,O(N!) Time | O(N) Space,Unrated,O(1) attack checks: cols[c] diag1[r - c + N - 1] diag2[r + c].
111,Sudoku Solver,Phase 6: Recursion & Backtracking,Hard State Space,Hard,37,https://leetcode.com/problems/sudoku-solver/,Not Started,Optimal,O(9^emptyCells) | O(1) Space,Unrated,Find empty cell; test valid '1'..'9'; recurse; backtrack on dead end.
112,Palindrome Partitioning,Phase 6: Recursion & Backtracking,Combinatorics,Medium,131,https://leetcode.com/problems/palindrome-partitioning/,Not Started,Optimal,O(N * 2^N) | O(N) Space,Unrated,If prefix s[start..i] is palindrome add to path and recurse on i + 1.
